amount,hour_of_day,age_hours,has_duplicate,bank_code,upi_handle,dispute_type
1348.04,8,17.63221347385029,0,ICICI,@upi,WRONG_DEBIT
33867.3,17,6.259595949317963,0,AXIS,@paytm,WRONG_DEBIT
4775.39,7,36.38558074344209,0,HDFC,@okaxis,WRONG_DEBIT
7188.59,19,13.0785955344772,1,ICICI,@ybl,DUPLICATE_TRANSACTION
1463.13,0,9.105688405557206,0,ICICI,@upi,TECHNICAL_DECLINE
6870.99,4,80.72769184035349,0,BOB,@phonepe,TRANSACTION_TIMEOUT
4728.02,3,25.846515394893245,0,SBI,@okaxis,WRONG_DEBIT
80809.26,16,90.55009127293502,0,AXIS,@paytm,BENEFICIARY_NOT_CREDITED
1536.57,20,7.422237028370953,0,BOB,@phonepe,TECHNICAL_DECLINE
1042.21,2,0.5498926038679466,0,ICICI,@phonepe,TECHNICAL_DECLINE
42780.35,3,27.369088202819963,0,AXIS,@upi,WRONG_DEBIT
16684.08,14,35.98767413883844,0,SBI,@upi,BENEFICIARY_NOT_CREDITED
30495.64,5,38.45807114613898,0,ICICI,@gpay,WRONG_DEBIT
7651.16,20,152.6006176818636,0,ICICI,@upi,TRANSACTION_TIMEOUT
84363.77,9,39.25102801800543,0,HDFC,@phonepe,BENEFICIARY_NOT_CREDITED
5428.04,6,186.79669087620283,0,KOTAK,@upi,TRANSACTION_TIMEOUT
21656.34,16,67.07052747713094,0,PNB,@ybl,BENEFICIARY_NOT_CREDITED
2722.31,11,17.87973557019856,1,KOTAK,@phonepe,DUPLICATE_TRANSACTION
2199.33,18,4.792806061684767,0,ICICI,@gpay,TECHNICAL_DECLINE
2518.23,1,10.33323491599999,0,ICICI,@upi,TECHNICAL_DECLINE
7941.59,14,14.313816737567372,1,AXIS,@ybl,DUPLICATE_TRANSACTION
4980.99,16,3.016969439781758,0,KOTAK,@paytm,TECHNICAL_DECLINE
34117.35,17,54.0632015705959,0,BOB,@upi,WRONG_DEBIT
11599.44,15,27.412344975559844,0,HDFC,@upi,BENEFICIARY_NOT_CREDITED
97202.87,11,85.78283965892231,0,HDFC,@upi,BENEFICIARY_NOT_CREDITED
84246.1,17,102.69802531017477,0,ICICI,@phonepe,BENEFICIARY_NOT_CREDITED
5439.85,20,22.138417934838593,1,HDFC,@okaxis,DUPLICATE_TRANSACTION
49116.27,10,156.15946891619106,0,BOB,@phonepe,BENEFICIARY_NOT_CREDITED
673.46,22,13.61656664853384,1,HDFC,@paytm,DUPLICATE_TRANSACTION
16338.86,17,164.40683325466213,0,ICICI,@upi,TRANSACTION_TIMEOUT
18942.29,5,88.28860759888899,0,BOB,@okaxis,TRANSACTION_TIMEOUT
19290.82,17,162.80030988864243,0,PNB,@gpay,TRANSACTION_TIMEOUT
40199.73,14,74.16271401372218,0,KOTAK,@ybl,BENEFICIARY_NOT_CREDITED
12470.49,2,24.342160474616783,0,KOTAK,@okaxis,WRONG_DEBIT
5925.56,8,1.7038340642167809,1,PNB,@paytm,DUPLICATE_TRANSACTION
767.26,8,20.631249606089916,1,HDFC,@okaxis,DUPLICATE_TRANSACTION
